Threshold,Jobs_Kept,Jobs_Kept_%,Clusters_Active,Mean_Cluster_Purity
0.4,7169,11.161451035341742,17,0.35354535658337444
0.5,4042,6.2930094971197255,12,0.26428819304175694
0.6,1978,3.079557839016036,4,0.2308501625265521
0.7,1500,2.335357309668379,4,0.24617794723397574
0.8,856,1.3327105713840885,1,0.11214953271028037
